Criterios propuestos por orden de prioridad de arreglo;;;VO;VR;Inc %
EN9;Estructura y Navegación;No hay enlaces rotos;NTS;S;189573%
EN8;Estructura y Navegación;No hay redundancia de enlaces;NTS;S;189573%
LA4;Layout de la página;"Existen zonas en ""blanco"" entre los objetos informativos de la página para poder descansar la vista";NTS;S;0.947861%
LA3;Layout de la página;Es una interfaz limpia, sin ruido visual;NTS;S;0.947861%
EN11;Estructura y Navegación;En las imágenes de enlace se indica el contenido al que se va a acceder;NTS;S;0.947861%
EM6;Elementos Multimedia;El uso de sonido proporciona algún tipo de valor añadido;NTS;S;0.473923%
EN10;Estructura y Navegación;No hay enlaces que lleven a la misma página que se está visualizando;NTS;S;0.473923%
EN1;Estructura y Navegación;Se ha evitado pantalla de bienvenida;NTS;S;0.473923%
AG9;Aspectos Generales;Traducción del sitio completa y correcta;NPI;S;0.236961%
AG5;Aspectos Generales;Diseño general del sitio web reconocible;8;10;0.189568%
AG4;Aspectos Generales;Look and Feel general se corresponde con los objetivos del sitio web;8;10;0.189568%
LA5;Layout de la página;Uso correcto del espacio visual de la página;9;10;0.09478%
;;;;;
Criterios Correctos;;;;;
AY 5;Ayuda;FAQs (si la hay), correcta la redacción de las respuestas;;;
AY 4;Ayuda;FAQs (si la hay), correcta la elección como la redacción de las preguntas;;;
AY 3;Ayuda;Se ofrece ayuda contextual en tareas complejas;;;
AY 2;Ayuda;Fácil acceso y retorno al/del sistema de ayuda;;;
AY 1;Ayuda;"El enlace a la sección de Ayuda, colocado en una zona visible y ""estándar""";;;
BU 8;Búsqueda;Asiste al usuario en caso de no poder ofrecer resultados para una consultada dada;;;
BU 7;Búsqueda;Muestra los resultados de la búsqueda de forma comprensible para el usuario;;;
BU 6;Búsqueda;Permite la búsqueda avanzada;;;
BU 5;Búsqueda;Sistema de búsqueda simple y claro;;;
BU 4;Búsqueda;La caja de texto es lo suficientemente ancha;;;
BU 3;Búsqueda;Se encuentra fácilmente accesible;;;
BU 2;Búsqueda;Es fácilmente reconocible como tal;;;
BU 1;Búsqueda;Si es necesaria, se encuentra accesible desde todas las páginas del sitio;;;
EM 5;Elementos Multimedia;Se ha evitado el uso de animaciones cíclicas;;;
EM 4;Elementos Multimedia;El uso de imágenes o animaciones proporciona algún tipo de valor añadido;;;
EM 3;Elementos Multimedia;Fotografías con correcta resolución;;;
EM 2;Elementos Multimedia;Fotografías comprensibles;;;
EM 1;Elementos Multimedia;Fotografías bien recortadas;;;
CR 10;Control y Retroalimentación;Si existen tareas de varios pasos, se indica al usuario en cual está y cuantos faltan para completar la tarea;;;
CR 9;Control y Retroalimentación;Se ha evitado la descarga por parte del usuario de plug-ins adicionales;;;
CR 8;Control y Retroalimentación;Se ha evitado la proliferación de ventanas en la pantalla del usuario;;;
CR 7;Control y Retroalimentación;Se ha evitado que las ventanas del sitio anulen o se superpongan a la del navegador;;;
CR 6;Control y Retroalimentación;Se ha controlado el tiempo de respuesta;;;
CR 5;Control y Retroalimentación;Cuando se produce un error, se informa de forma clara y no alarmista al usuario de lo ocurrido y de cómo solucionar el problema;;;
CR 4;Control y Retroalimentación;Existen sistemas de validación antes de que el usuario envíe información para tratar de evitar errores;;;
CR 3;Control y Retroalimentación;Se informa al usuario de lo que ha pasado;;;
CR 2;Control y Retroalimentación;Se informa al usuario acerca de lo que está pasando;;;
CR 1;Control y Retroalimentación;El usuario tiene todo el control sobre la interfaz;;;
EF 7;Entendibilidad y Facilidad en la interacción;Si el usuario tiene que rellenar un campo, las opciones disponibles se pueden seleccionar en vez de tener que escribirlas;;;
EF 6;Entendibilidad y Facilidad en la interacción;Si se usan menús desplegables, orden coherente o alfabético;;;
EF 5;Entendibilidad y Facilidad en la interacción;Metáforas visuales reconocibles y comprensibles por cualquier usuario (ej: iconos);;;
EF 4;Entendibilidad y Facilidad en la interacción;Uso consistente de los controles de la interfaz;;;
EF 3;Entendibilidad y Facilidad en la interacción;Cada párrafo expresa una idea;;;
EF 2;Entendibilidad y Facilidad en la interacción;Lenguaje amigable, familiar y cercano;;;
EF 1;Entendibilidad y Facilidad en la interacción;Se emplea un lenguaje claro y conciso;;;
LA 10;Layout de la página;Se ha evitado el texto parpadeante / deslizante;;;
LA 9;Layout de la página;El texto de la página se lee sin dificultad;;;
LA 8;Layout de la página;La versión impresa de la página es correcta;;;
LA 7;Layout de la página;Se ha controlado la longitud de página;;;
