Criterios propuestos por orden de prioridad de arreglo;;;VO;VR;Inc %
EN7;Estructura y Navegación;La caracterización de los enlaces indica su estado (visitados, activos,...);NTS;S;191387%
EN5;Estructura y Navegación;Equilibrio entre profundidad y anchura en el caso de estructura jerárquica;NTS;S;191387%
II7;Identidad e Información;Se ofrece información sobre el autor, fuentes y fechas de creación y revisión en artículos, noticias, informes;NEP;S;14354%
AY3;Ayuda;Se ofrece ayuda contextual en tareas complejas;NTS;S;0.956932%
AY2;Ayuda;Fácil acceso y retorno al/del sistema de ayuda;0;10;0.956932%
AY1;Ayuda;"El enlace a la sección de Ayuda, colocado en una zona visible y ""estándar""";NTS;S;0.956932%
CR4;Control y Retroalimentación;Existen sistemas de validación antes de que el usuario envíe información para tratar de evitar errores;NTS;S;0.956932%
CR3;Control y Retroalimentación;Se informa al usuario de lo que ha pasado;NTS;S;0.956932%
EF7;Entendibilidad y Facilidad en la interacción;Si el usuario tiene que rellenar un campo, las opciones disponibles se pueden seleccionar en vez de tener que escribirlas;NTS;S;0.956932%
EF6;Entendibilidad y Facilidad en la interacción;Si se usan menús desplegables, orden coherente o alfabético;NTS;S;0.956932%
LA4;Layout de la página;"Existen zonas en ""blanco"" entre los objetos informativos de la página para poder descansar la vista";NTS;S;0.956932%
RO6;Rotulado;URLs de páginas internas permanentes;NTS;S;0.956932%
EN14;Estructura y Navegación;Existe mapa del sitio para acceder directamente a los contenidos sin navegar;NTS;S;0.956932%
AG9;Aspectos Generales;Traducción del sitio completa y correcta;NTS;S;0.956932%
AG8;Aspectos Generales;Se da soporte a otro/s idioma/s;NTS;S;0.956932%
AY4;Ayuda;FAQs (si la hay), correcta la elección como la redacción de las preguntas;2;10;0.765549%
AG2;Aspectos Generales;Contenidos o servicios ofrecidos precisos y completos;8;10;0.765549%
EM6;Elementos Multimedia;El uso de sonido proporciona algún tipo de valor añadido;NTS;S;0.47847%
CR5;Control y Retroalimentación;Cuando se produce un error, se informa de forma clara y no alarmista al usuario de lo ocurrido y de cómo solucionar el problema;NTS;S;0.47847%
CR2;Control y Retroalimentación;Se informa al usuario acerca de lo que está pasando;NTS;S;0.47847%
BU8;Búsqueda;Asiste al usuario en caso de no poder ofrecer resultados para una consultada dada;8;10;0.382774%
BU5;Búsqueda;Sistema de búsqueda simple y claro;9;10;0.382774%
AG6;Aspectos Generales;Diseño general del sitio web coherente;8;10;0.382774%
AG1;Aspectos Generales;Objetivos del sitio web concretos y bien definidos;8;10;0.382774%
AY5;Ayuda;FAQs (si la hay), correcta la redacción de las respuestas;7;10;0.287079%
LA6;Layout de la página;"Se utiliza correctamente la jerarquía visual para expresar las relaciones del tipo ""parte de"" entre los elementos de la página";7;10;0.287079%
EN11;Estructura y Navegación;En las imágenes de enlace se indica el contenido al que se va a acceder;NPI;S;0.239235%
BU7;Búsqueda;Muestra los resultados de la búsqueda de forma comprensible para el usuario;9;10;0.191383%
BU4;Búsqueda;La caja de texto es lo suficientemente ancha;9;10;0.191383%
LA5;Layout de la página;Uso correcto del espacio visual de la página;8;10;0.191383%
AG5;Aspectos Generales;Diseño general del sitio web reconocible;8;10;0.191383%
BU3;Búsqueda;Se encuentra fácilmente accesible;9;10;0.0956879%
BU2;Búsqueda;Es fácilmente reconocible como tal;9;10;0.0956879%
EN3;Estructura y Navegación;Organización de elementos acorde con las convenciones;9;10;0.0956879%
AG4;Aspectos Generales;Look and Feel general se corresponde con los objetivos del sitio web;9;10;0.0956879%
II1;Identidad e Información;Identidad o Logotipo significativo, identificable y suficientemente visible;9;10;0.0478439%
