Criterios propuestos por orden de prioridad de arreglo;;;VO;VR;Inc %
AG2;Aspectos Generales;Contenidos o servicios ofrecidos precisos y completos;2;10;315271%
BU8;Búsqueda;Asiste al usuario en caso de no poder ofrecer resultados para una consultada dada;0;10;197044%
BU7;Búsqueda;Muestra los resultados de la búsqueda de forma comprensible para el usuario;0;10;197044%
BU5;Búsqueda;Sistema de búsqueda simple y claro;5;10;197044%
BU1;Búsqueda;Si es necesaria, se encuentra accesible desde todas las páginas del sitio;NTS;S;197044%
LA9;Layout de la página;El texto de la página se lee sin dificultad;NTS;S;197044%
LA8;Layout de la página;La versión impresa de la página es correcta;NTS;S;197044%
EN13;Estructura y Navegación;Existen elementos de navegación que orienten al usuario acerca de dónde está y cómo deshacer su navegación (ej: migas, pestañas coloreadas);NTS;S;197044%
EN9;Estructura y Navegación;No hay enlaces rotos;NTS;S;197044%
EN7;Estructura y Navegación;La caracterización de los enlaces indica su estado (visitados, activos,...);NTS;S;197044%
EN4;Estructura y Navegación;Control del número de elementos y de términos por elemento en los menús de navegación;NTS;S;197044%
EN6;Estructura y Navegación;Enlaces fácilmente reconocibles como tales;NEP;S;147783%
EN2;Estructura y Navegación;Estructura de organización y navegación adecuadas;3;10;137931%
AG6;Aspectos Generales;Diseño general del sitio web coherente;3;10;137931%
AG1;Aspectos Generales;Objetivos del sitio web concretos y bien definidos;4;10;118227%
AY5;Ayuda;FAQs (si la hay), correcta la redacción de las respuestas;0;10;0.985222%
AY4;Ayuda;FAQs (si la hay), correcta la elección como la redacción de las preguntas;0;10;0.985222%
AY3;Ayuda;Se ofrece ayuda contextual en tareas complejas;NTS;S;0.985222%
AY2;Ayuda;Fácil acceso y retorno al/del sistema de ayuda;0;10;0.985222%
AY1;Ayuda;"El enlace a la sección de Ayuda, colocado en una zona visible y ""estándar""";NTS;S;0.985222%
BU6;Búsqueda;Permite la búsqueda avanzada;0;10;0.985222%
BU4;Búsqueda;La caja de texto es lo suficientemente ancha;5;10;0.985222%
EM5;Elementos Multimedia;Se ha evitado el uso de animaciones cíclicas;NTS;S;0.985222%
EM3;Elementos Multimedia;Fotografías con correcta resolución;NTS;S;0.985222%
EM1;Elementos Multimedia;Fotografías bien recortadas;NTS;S;0.985222%
CR4;Control y Retroalimentación;Existen sistemas de validación antes de que el usuario envíe información para tratar de evitar errores;NTS;S;0.985222%
EF7;Entendibilidad y Facilidad en la interacción;Si el usuario tiene que rellenar un campo, las opciones disponibles se pueden seleccionar en vez de tener que escribirlas;NTS;S;0.985222%
EF5;Entendibilidad y Facilidad en la interacción;Metáforas visuales reconocibles y comprensibles por cualquier usuario (ej: iconos);NTS;S;0.985222%
EF4;Entendibilidad y Facilidad en la interacción;Uso consistente de los controles de la interfaz;NTS;S;0.985222%
RO6;Rotulado;URLs de páginas internas permanentes;NTS;S;0.985222%
RO5;Rotulado;URLs de páginas internas claras;NTS;S;0.985222%
RO3;Rotulado;Título de las páginas, correcto y planificado;NTS;S;0.985222%
EN14;Estructura y Navegación;Existe mapa del sitio para acceder directamente a los contenidos sin navegar;NTS;S;0.985222%
EN12;Estructura y Navegación;Existe un enlace para volver al inicio en cada página;NTS;S;0.985222%
II6;Identidad e Información;Se ofrece información sobre la protección de datos de carácter personal o los derechos de autor de los contenidos del sitio web;NTS;S;0.985222%
II4;Identidad e Información;Se ofrece información sobre el sitio web, empresa…;NTS;S;0.985222%
II3;Identidad e Información;Eslogan o tagline adecuado al objetivo del sitio;NTS;S;0.985222%
AG9;Aspectos Generales;Traducción del sitio completa y correcta;NTS;S;0.985222%
AG8;Aspectos Generales;Se da soporte a otro/s idioma/s;NTS;S;0.985222%
AG3;Aspectos Generales;Estructura general del sitio web orientada al usuario;5;10;0.985222%
EF6;Entendibilidad y Facilidad en la interacción;Si se usan menús desplegables, orden coherente o alfabético;NEP;S;0.738914%
BU3;Búsqueda;Se encuentra fácilmente accesible;5;10;0.492611%
BU2;Búsqueda;Es fácilmente reconocible como tal;5;10;0.492611%
CR10;Control y Retroalimentación;Si existen tareas de varios pasos, se indica al usuario en cual está y cuantos faltan para completar la tarea;NTS;S;0.492611%
CR6;Control y Retroalimentación;Se ha controlado el tiempo de respuesta;NTS;S;0.492611%
CR5;Control y Retroalimentación;Cuando se produce un error, se informa de forma clara y no alarmista al usuario de lo ocurrido y de cómo solucionar el problema;NTS;S;0.492611%
LA5;Layout de la página;Uso correcto del espacio visual de la página;5;10;0.492611%
EN10;Estructura y Navegación;No hay enlaces que lleven a la misma página que se está visualizando;NTS;S;0.492611%
EN3;Estructura y Navegación;Organización de elementos acorde con las convenciones;5;10;0.492611%
II1;Identidad e Información;Identidad o Logotipo significativo, identificable y suficientemente visible;2;10;0.394089%
AG5;Aspectos Generales;Diseño general del sitio web reconocible;6;10;0.394089%
LA6;Layout de la página;"Se utiliza correctamente la jerarquía visual para expresar las relaciones del tipo ""parte de"" entre los elementos de la página";7;10;0.295567%
AG4;Aspectos Generales;Look and Feel general se corresponde con los objetivos del sitio web;7;10;0.295567%
RO4;Rotulado;URL página principal correcta, clara y fácil de recordar;9;10;0.0492592%
