Criterios propuestos por orden de prioridad de arreglo;;;VO;VR;Inc %
LA9;Layout de la página;El texto de la página se lee sin dificultad;NTS;S;20202%
LA8;Layout de la página;La versión impresa de la página es correcta;NTS;S;20202%
II7;Identidad e Información;Se ofrece información sobre el autor, fuentes y fechas de creación y revisión en artículos, noticias, informes;NTS;S;20202%
EN13;Estructura y Navegación;Existen elementos de navegación que orienten al usuario acerca de dónde está y cómo deshacer su navegación (ej: migas, pestañas coloreadas);NEP;S;151515%
EN4;Estructura y Navegación;Control del número de elementos y de términos por elemento en los menús de navegación;NEP;S;151515%
CR1;Control y Retroalimentación;El usuario tiene todo el control sobre la interfaz;NTS;S;10101%
EF7;Entendibilidad y Facilidad en la interacción;Si el usuario tiene que rellenar un campo, las opciones disponibles se pueden seleccionar en vez de tener que escribirlas;NTS;S;10101%
EF3;Entendibilidad y Facilidad en la interacción;Cada párrafo expresa una idea;NTS;S;10101%
LA2;Layout de la página;Se ha evitado la sobrecarga informativa;NTS;S;10101%
EN11;Estructura y Navegación;En las imágenes de enlace se indica el contenido al que se va a acceder;NTS;S;10101%
AG9;Aspectos Generales;Traducción del sitio completa y correcta;NTS;S;10101%
AG8;Aspectos Generales;Se da soporte a otro/s idioma/s;NTS;S;10101%
EF6;Entendibilidad y Facilidad en la interacción;Si se usan menús desplegables, orden coherente o alfabético;NEP;S;0.757576%
LA10;Layout de la página;Se ha evitado el texto parpadeante / deslizante;NEP;S;0.757576%
RO3;Rotulado;Título de las páginas, correcto y planificado;NEP;S;0.757576%
AY4;Ayuda;FAQs (si la hay), correcta la elección como la redacción de las preguntas;4;10;0.606064%
AY5;Ayuda;FAQs (si la hay), correcta la redacción de las respuestas;5;10;0.505051%
BU1;Búsqueda;Si es necesaria, se encuentra accesible desde todas las páginas del sitio;NPI;S;0.505051%
II4;Identidad e Información;Se ofrece información sobre el sitio web, empresa…;NPP;S;0.505051%
II3;Identidad e Información;Eslogan o tagline adecuado al objetivo del sitio;NPP;S;0.505051%
LA6;Layout de la página;"Se utiliza correctamente la jerarquía visual para expresar las relaciones del tipo ""parte de"" entre los elementos de la página";6;10;0.404045%
EN12;Estructura y Navegación;Existe un enlace para volver al inicio en cada página;NPI;S;0.252525%
CR10;Control y Retroalimentación;Si existen tareas de varios pasos, se indica al usuario en cual está y cuantos faltan para completar la tarea;NPI;S;0.126266%
AY2;Ayuda;Fácil acceso y retorno al/del sistema de ayuda;9;10;0.101013%
BU2;Búsqueda;Es fácilmente reconocible como tal;9;10;0.101013%
LA5;Layout de la página;Uso correcto del espacio visual de la página;9;10;0.101013%
EN3;Estructura y Navegación;Organización de elementos acorde con las convenciones;9;10;0.101013%
AG4;Aspectos Generales;Look and Feel general se corresponde con los objetivos del sitio web;9;10;0.101013%
