UNIVERSIDAD,ABREV.,Régimen,Website,Categoría,% USABILIDAD,AG1,AG2,AG3,AG4,AG5,AG6,AG7,AG8,AG9,AG10,II1,II2,II3,II4,II5,II6,II7,EN1,EN2,EN3,EN4,EN5,EN6,EN7,EN8,EN9,EN10,EN11,EN12,EN13,EN14,RO1,RO2,RO3,RO4,RO5,RO6,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9,LA10,EF1,EF2,EF3,EF4,EF5,EF6,EF7,CR1,CR2,CR3,CR4,CR5,CR6,CR7,CR8,CR9,CR10,EM1,EM2,EM3,EM4,EM5,EM6,BU1,BU2,BU3,BU4,BU5,BU6,BU7,BU8,AY1,AY2,AY3,AY4,AY5
ESCUELA POLITÉCNICA NACIONAL,EPN,PÚBLICO,http://www.epn.edu.ec/,A,,9,9,,8,9,8,,,,,9,,,,NTS,NTS,NTS,,9,9,,,,NTS,,,,,,,NTS,,,,,,,,,,,8,8,,,,,,,,,,,,NTS,,,,,NTS,,,,,,,,,,NTS,,9,7,,,0,8,8,NTS,0,NTS,0,0
ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO,ESPOCH,PÚBLICO,http://www.espoch.edu.ec/,B,,5,6,6,6,6,6,NTS,NTS,NTS,NTS,9,,,NTS,,NTS,NPP,,9,7,,NTS,,NTS,,,,,,,,,,,8,NTS,NTS,NTS,NTS,NTS,,6,7,NTS,NTS,NPI,,,,,NTS,NTS,NTS,,NTS,,,,NTS,,,,,,,,,,NTS,,,9,8,8,8,0,8,5,NTS,0,NTS,,
ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL,ESPOL,PÚBLICO,http://www.espol.edu.ec/,A,,5,6,5,5,1,6,,,,,9,,NTS,NTS,NTS,NTS,NPI,NPI,7,7,,,NPI,NTS,,,,NTS,,NTS,NTS,NPI,,NPI,,NTS,,,NTS,NTS,NTS,8,7,NTS,,NPI,,,,,NPI,,,,NTS,NTS,NTS,,,,,,,,,NPI,NPI,NPI,,,,8,7,7,9,0,9,4,NTS,0,NTS,0,0
PONTIFICIA UNIVERSIDAD CATÓLICA DEL ECUADOR,PUCE,PARTICULAR,http://www.puce.edu.ec/,B,,,,9,9,7,9,,NTS,,,9,,,,,NTS,,,9,9,,,,NTS,,,,,,,,,,,,NTS,,,,,,9,7,,,,,,,,NTS,NTS,NTS,,NTS,,,,,,,,,,,,,,,,,9,9,8,8,,8,,,,,,
UNIVERSIDAD CASA GRANDE,UCG,PARTICULAR,http://www.ucsg.edu.ec/,B,,8,7,8,6,7,8,,NTS ,NTS,,8,,,,,,,,9,9,NTS,NPP,,,,,,,,,,NTS,NTS,,9,,,,NTS,NPP,,9,8,,NTS,,NTS,,,,,,,,,,,,,NTS,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSIDAD CATÓLICA DE SANTIAGO DE GUAYAQUIL,UCSG,PARTICULAR,http://www.ucsg.edu.ec/,B,,,,,8,8,,,,,,,,,,,,,,,,,,,,NTS,NTS,NTS,NTS,,,,,,,,,,,,NTS,NTS,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTS,,,,,,,,,,,,,
UNIVERSIDAD CENTRAL DEL ECUADOR,UCE,PÚBLICO,http://www.uce.edu.ec/,B,77.5962,9,,,,9,,,NTS,,,8,,,,,,,,8,9,,,,,NTS,NTS,NTS,,,,,,,,,,,,NPI,,,7,8,,,,,,,,,,NTS,NEP,,,,,,,,,,,,,,,NTS,,,,,,1,0,1,0,NTS,0,NTS,0,0
UNIVERSIDAD NACIONAL DE CHIMBORAZO,UNACH,PÚBLICO,http://www.unach.edu.ec/,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTS,NTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSIDAD TÉCNICA DE COTOPAXI,UTC,PÚBLICO,http://www.utc.edu.ec/,C,77.6515,,,,9,,,,NTS,NTS,,,,NPP,NPP,,,NTS,,,9,NEP,,,,,,,NTS,NPI,NEP,,,,NEP,,,,,NTS,,,9,6,,NTS,NTS,NEP,,,NTS,,,NEP,NTS,NTS,,,,,,,,,NPI,,,,,,,NPI,9,,,,,,,,9,,4,5
UNIVERSIDAD DE CUENCA,UC,PÚBLICO,http://www.ucuenca.edu.ec/,B,96.0123,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,NPI,,NTS,,,,,,,,,,,,,,,,,6,,,,9,,,,0,,,
