Criterios propuestos por orden de prioridad de arreglo;;;VO;VR;Inc %
EN13;Estructura y Navegación;Existen elementos de navegación que orienten al usuario acerca de dónde está y cómo deshacer su navegación (ej: migas, pestañas coloreadas);NTS;S;253165%
AY3;Ayuda;Se ofrece ayuda contextual en tareas complejas;NTS;S;126582%
AY1;Ayuda;"El enlace a la sección de Ayuda, colocado en una zona visible y ""estándar""";NTS;S;126582%
CR7;Control y Retroalimentación;Se ha evitado que las ventanas del sitio anulen o se superpongan a la del navegador;NTS;S;126582%
CR6;Control y Retroalimentación;Se ha controlado el tiempo de respuesta;NTS;S;126582%
EF7;Entendibilidad y Facilidad en la interacción;Si el usuario tiene que rellenar un campo, las opciones disponibles se pueden seleccionar en vez de tener que escribirlas;NTS;S;126582%
EF6;Entendibilidad y Facilidad en la interacción;Si se usan menús desplegables, orden coherente o alfabético;NTS;S;126582%
EF4;Entendibilidad y Facilidad en la interacción;Uso consistente de los controles de la interfaz;NTS;S;126582%
LA8;Layout de la página;La versión impresa de la página es correcta;NTS;S;126582%
LA4;Layout de la página;"Existen zonas en ""blanco"" entre los objetos informativos de la página para poder descansar la vista";NTS;S;126582%
LA3;Layout de la página;Es una interfaz limpia, sin ruido visual;NTS;S;126582%
EN14;Estructura y Navegación;Existe mapa del sitio para acceder directamente a los contenidos sin navegar;NTS;S;126582%
EN8;Estructura y Navegación;No hay redundancia de enlaces;NTS;S;126582%
EN7;Estructura y Navegación;La caracterización de los enlaces indica su estado (visitados, activos,...);NTS;S;126582%
EN5;Estructura y Navegación;Equilibrio entre profundidad y anchura en el caso de estructura jerárquica;NTS;S;126582%
AG9;Aspectos Generales;Traducción del sitio completa y correcta;NTS;S;126582%
AG8;Aspectos Generales;Se da soporte a otro/s idioma/s;NTS;S;126582%
AG6;Aspectos Generales;Diseño general del sitio web coherente;5;10;126582%
AG1;Aspectos Generales;Objetivos del sitio web concretos y bien definidos;1;10;113924%
AY5;Ayuda;FAQs (si la hay), correcta la redacción de las respuestas;2;10;101266%
EN3;Estructura y Navegación;Organización de elementos acorde con las convenciones;4;10;0.759495%
AG2;Aspectos Generales;Contenidos o servicios ofrecidos precisos y completos;7;10;0.759495%
AY4;Ayuda;FAQs (si la hay), correcta la elección como la redacción de las preguntas;5;10;0.632912%
AY2;Ayuda;Fácil acceso y retorno al/del sistema de ayuda;0;10;0.632912%
EM4;Elementos Multimedia;El uso de imágenes o animaciones proporciona algún tipo de valor añadido;NTS;S;0.632912%
CR1;Control y Retroalimentación;El usuario tiene todo el control sobre la interfaz;NTS;S;0.632912%
LA2;Layout de la página;Se ha evitado la sobrecarga informativa;NTS;S;0.632912%
EN2;Estructura y Navegación;Estructura de organización y navegación adecuadas;5;10;0.632912%
II7;Identidad e Información;Se ofrece información sobre el autor, fuentes y fechas de creación y revisión en artículos, noticias, informes;NTS;S;0.632912%
II3;Identidad e Información;Eslogan o tagline adecuado al objetivo del sitio;NTS;S;0.632912%
AG5;Aspectos Generales;Diseño general del sitio web reconocible;5;10;0.632912%
AG4;Aspectos Generales;Look and Feel general se corresponde con los objetivos del sitio web;5;10;0.632912%
AG3;Aspectos Generales;Estructura general del sitio web orientada al usuario;5;10;0.632912%
BU5;Búsqueda;Sistema de búsqueda simple y claro;8;10;0.506332%
BU2;Búsqueda;Es fácilmente reconocible como tal;6;10;0.506332%
LA6;Layout de la página;"Se utiliza correctamente la jerarquía visual para expresar las relaciones del tipo ""parte de"" entre los elementos de la página";6;10;0.506332%
BU8;Búsqueda;Asiste al usuario en caso de no poder ofrecer resultados para una consultada dada;4;10;0.379749%
BU7;Búsqueda;Muestra los resultados de la búsqueda de forma comprensible para el usuario;7;10;0.379749%
BU4;Búsqueda;La caja de texto es lo suficientemente ancha;7;10;0.379749%
BU3;Búsqueda;Se encuentra fácilmente accesible;7;10;0.379749%
EM6;Elementos Multimedia;El uso de sonido proporciona algún tipo de valor añadido;NTS;S;0.316456%
LA5;Layout de la página;Uso correcto del espacio visual de la página;5;10;0.316456%
II6;Identidad e Información;Se ofrece información sobre la protección de datos de carácter personal o los derechos de autor de los contenidos del sitio web;NPI;S;0.316456%
BU6;Búsqueda;Permite la búsqueda avanzada;8;10;0.253166%
RO4;Rotulado;URL página principal correcta, clara y fácil de recordar;9;10;0.0632935%
